District name,Primary role,First name,Last name,Gender,Email,Phone,Cell,Fax,Photo URL,Website,Address line 1,Address line 2,Locality,Postal code,Province
Guelph,Mayor,Cam,Guthrie,M,mayor@guelph.ca,519-837-5643,,519-822-8277,http://guelph.ca/wp-content/uploads/CamGuthrie1.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 1,Councillor,Dan,Gibson,M,dan.gibson@guelph.ca,519-822-1260 x 2502,519-827-6407,519-822-8277,http://guelph.ca/wp-content/uploads/DanGibson.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 1,Councillor,Bob,Bell,M,bob.bell@guelph.ca,519-822-6152,,519-822-8277,http://guelph.ca/wp-content/uploads/BobBell2.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 2,Councillor,Rodrigo,Goller,M,rodrigo.goller@guelph.ca,519-822-1260,226-821-1146,519-822-8277,http://guelph.ca/wp-content/uploads/rodrigo-goller.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 2,Councillor,James,Gordon,M,james.gordon@guelph.ca,519-822-1260 x 2504,519-827-6481,519-822-8277,http://guelph.ca/wp-content/uploads/JamesGordon1.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 3,Councillor,Phil,Allt,M,phil.allt@guelph.ca,519-822-1260 x 2510,519-827-6579,519-822-8277,http://guelph.ca/wp-content/uploads/PhilAllt.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 3,Councillor,June,Hofland,F,june.hofland@guelph.ca,519-822-1260 x 2505,,519-822-8277,http://guelph.ca/wp-content/uploads/june-hoffland.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 4,Councillor,Christine,Billings,F,christine.billings@guelph.ca,519-826-0567,,519-822-8277,http://guelph.ca/wp-content/uploads/ChristineBillings.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 4,Councillor,Mike,Salisbury,M,mike.salisbury@guelph.ca,519-822-1260 x 2512,519-827-7398,519-822-8277,http://guelph.ca/wp-content/uploads/MikeSalisbury.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 5,Councillor,Leanne,Piper,F,leanne.piper@guelph.ca,519-822-1260 x 2295,519-835-1136,519-822-8277,http://guelph.ca/wp-content/uploads/Leanne-Piper.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 5,Councillor,Cathy,Downer,F,cathy.downer@guelph.ca,519-822-1260 x 2294,519-827-8390,519-822-8277,http://guelph.ca/wp-content/uploads/CathyDowner.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 6,Councillor,Mark,MacKinnon,M,mark.mackinnon@guelph.ca,519-822-1260 x 2296,,519-822-8277,http://guelph.ca/wp-content/uploads/MarkMacKinnon.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
Ward 6,Councillor,Dominque, O'Rourke,F,dominique.orourke@guelph.ca,519-822-1260 x 3577,226-821-1126,519-822-8277,http://guelph.ca/wp-content/uploads/dominique-orourke.jpg,,1 Carden Street,,Guelph,N1H 3A1,ON
